name,value,unit,source,description
ntp_max_counter,4294967295.0,seconds,extracted,Maximum value of 32-bit unsigned NTP seconds counter (2^32 - 1)
ntp_epoch_year,1900.0,year,extracted,"NTP epoch start year: January 1, 1900"
ntp_wraparound_year,2036.1,year,extracted,"Calendar year of NTP 32-bit overflow: February 6, 2036"
ntp_wraparound_seconds_from_epoch,4294967296.0,seconds,extracted,Seconds from Jan 1 1900 at which NTP 32-bit counter wraps
unix_max_counter,2147483647.0,seconds,extracted,Maximum value of 32-bit signed UNIX integer (2^31 - 1)
unix_epoch_year,1970.0,year,extracted,"UNIX epoch start year: January 1, 1970"
unix_wraparound_year,2038.05,year,extracted,"Calendar year of UNIX 32-bit signed overflow: January 19, 2038"
unix_wraparound_seconds_from_epoch,2147483647.0,seconds,extracted,Seconds from Jan 1 1970 at which UNIX 32-bit counter hits max
unix_post_overflow_interpreted_year,1901.89,year,extracted,"Year that post-overflow UNIX counter is misinterpreted as: Dec 13, 1901"
ntp_post_overflow_interpreted_year,1900.0,year,extracted,"Year that post-overflow NTP counter is misinterpreted as: Jan 1, 1900"
unix_64bit_max_years,292000000000.0,years,extracted,Duration before 64-bit UNIX counter overflows (~292 billion years)
patch_rate_per_year,0.05,fraction/year,assumed,Annual fraction of legacy/IoT devices upgraded from 32-bit to 64-bit
initial_legacy_fraction,0.4,fraction,assumed,Fraction of deployed embedded/IoT systems still using 32-bit time at start
seconds_per_year,31557600.0,seconds/year,extracted,Approximate seconds per Julian year (365.25 days)
simulation_start_year,2024.0,year,assumed,Start of the simulation timeline
simulation_end_year,2050.0,year,assumed,End of the simulation timeline
time_step_days,30.0,days,assumed,Simulation time step in days (monthly resolution)
